timestamp_us,run_time_s,state,commanded_shear_pa,commanded_flow_ml_min,commanded_step_rate_hz,temp_reservoir_c,trigger_count,fault_code
1778007174155349,0.123,RAMPING,0.0073,0.0364,3.88,36.71,0,0
1778007174258216,0.226,RAMPING,0.0143,0.0713,7.60,36.70,0,0
1778007174412208,0.380,RAMPING,0.0225,0.1123,11.98,36.72,0,0
1778007174514436,0.482,RAMPING,0.0248,0.1241,13.24,36.70,0,0
1778007174616454,0.584,RAMPING,0.0253,0.1264,13.48,36.70,1,0
1778007174720298,0.688,RAMPING,0.0259,0.1295,13.82,36.69,1,0
1778007174822611,0.790,RAMPING,0.0293,0.1465,15.63,36.70,1,0
1778007174925755,0.893,RAMPING,0.0373,0.1863,19.87,36.69,1,0
1778007175027443,0.995,RAMPING,0.0493,0.2466,26.30,36.70,1,0
1778007175129352,1.097,RAMPING,0.0632,0.3160,33.70,36.69,2,0
1778007175232838,1.200,RAMPING,0.0752,0.3762,40.13,36.71,2,0
