timestamp_us,run_time_s,state,commanded_shear_pa,commanded_flow_ml_min,commanded_step_rate_hz,temp_reservoir_c,trigger_count,fault_code
1778403088144000,0.107,RAMPING,0.001,0.005,1,36.72,0,0
1778403088247000,0.210,RAMPING,0.002,0.011,1,36.68,0,0
1778403088339000,0.302,RAMPING,0.003,0.015,2,36.72,0,0
1778403088440000,0.403,RAMPING,0.004,0.020,2,36.68,0,0
1778403088547000,0.510,RAMPING,0.005,0.026,3,36.68,0,0
1778403088647000,0.610,RAMPING,0.006,0.031,3,36.70,1,0
1778403088741000,0.704,RAMPING,0.007,0.035,4,36.69,1,0
1778403088847000,0.810,RAMPING,0.008,0.041,4,36.71,1,0
1778403088943000,0.906,RAMPING,0.009,0.045,5,36.69,1,0
1778403089038000,1.001,RAMPING,0.010,0.050,5,36.69,1,0
1778403089147000,1.110,RAMPING,0.011,0.056,6,36.71,2,0
1778403089241000,1.204,RAMPING,0.012,0.060,6,36.72,2,0
1778403089345000,1.308,RAMPING,0.013,0.065,7,36.70,2,0
1778403089446000,1.409,RAMPING,0.014,0.070,8,36.70,2,0
1778403089542000,1.505,RAMPING,0.015,0.075,8,36.69,2,0
1778403089638000,1.601,RAMPING,0.016,0.080,9,36.69,3,0
1778403089747000,1.710,RAMPING,0.017,0.086,9,36.71,3,0
1778403089843000,1.806,RAMPING,0.018,0.090,10,36.69,3,0
1778403089938000,1.901,RAMPING,0.019,0.095,10,36.69,3,0
1778403090049000,2.012,RAMPING,0.020,0.101,11,36.71,3,0
1778403090140000,2.103,RAMPING,0.021,0.105,11,36.69,4,0
1778403090247000,2.210,RAMPING,0.022,0.111,12,36.71,4,0
1778403090344000,2.307,RAMPING,0.023,0.115,12,36.72,4,0
1778403090447000,2.410,RAMPING,0.024,0.121,13,36.70,4,0
1778403090538000,2.501,RAMPING,0.025,0.125,13,36.70,4,0
1778403090641000,2.604,RAMPING,0.026,0.130,14,36.71,5,0
1778403090747000,2.710,RAMPING,0.027,0.136,14,36.72,5,0
1778403090845000,2.808,RAMPING,0.028,0.140,15,36.73,5,0
1778403090940000,2.903,RAMPING,0.029,0.145,15,36.72,5,0
1778403091047000,3.010,RAMPING,0.030,0.151,16,36.69,5,0
1778403091138000,3.101,RAMPING,0.031,0.155,17,36.72,6,0
1778403091240000,3.203,RAMPING,0.032,0.160,17,36.70,6,0
1778403091347000,3.310,RAMPING,0.033,0.166,18,36.72,6,0
1778403091438000,3.401,RAMPING,0.034,0.170,18,36.71,6,0
1778403091541000,3.504,RAMPING,0.035,0.175,19,36.70,6,0
1778403091647000,3.610,RAMPING,0.036,0.181,19,36.71,7,0
1778403091738000,3.701,RAMPING,0.037,0.185,20,36.70,7,0
1778403091847000,3.810,RAMPING,0.038,0.191,20,36.73,7,0
1778403091944000,3.907,RAMPING,0.039,0.195,21,36.70,7,0
1778403092039000,4.002,RAMPING,0.040,0.200,21,36.71,7,0
1778403092147000,4.110,RAMPING,0.041,0.206,22,36.70,8,0
1778403092243000,4.206,RAMPING,0.042,0.210,22,36.73,8,0
1778403092308000,0.000,IDLE,0.000,0.000,0,36.73,8,0
